                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.49856,                 0.4671,                0.99982,                0.96275,                0.95978,                0.98018,                0.85152,                0.57959,                0.29361,                 1.0296,               0.005842,               0.005842,               0.005842
                    128,                0.50086,                 0.4699,                 1.0048,                0.98063,                0.95275,                0.98069,                0.85059,                0.58373,                0.29504,                 1.0322,               0.005809,               0.005809,               0.005809
                    129,                0.48864,                0.46432,                 1.0028,                0.97991,                0.94753,                 0.9821,                0.85401,                0.58524,                 0.2893,                 1.0529,               0.005776,               0.005776,               0.005776
                    130,                 0.4924,                0.46775,                 1.0026,                0.98376,                0.94445,                0.98433,                0.85476,                0.58355,                0.28839,                  1.037,               0.005743,               0.005743,               0.005743
                    131,                0.49688,                0.45882,                 1.0057,                0.97414,                0.96671,                 0.9823,                0.85541,                0.59792,                0.28256,                 1.0634,                0.00571,                0.00571,                0.00571
                    132,                0.48999,                0.45629,                0.99569,                0.97692,                0.95993,                0.97847,                 0.8536,                0.59098,                0.30325,                 1.0485,               0.005677,               0.005677,               0.005677
                    133,                0.48981,                 0.4543,                0.99489,                0.98351,                0.95214,                0.98262,                0.85647,                0.57922,                0.28422,                 1.0318,               0.005644,               0.005644,               0.005644
                    134,                0.49064,                0.45099,                0.99777,                0.97468,                0.96902,                0.98599,                0.85947,                0.58645,                0.27324,                 1.0426,               0.005611,               0.005611,               0.005611
                    135,                0.48773,                0.46131,                0.99733,                0.98048,                0.95694,                0.98176,                0.85343,                0.57739,                0.28403,                 1.0366,               0.005578,               0.005578,               0.005578
                    136,                0.48261,                0.44818,                 0.9945,                 0.9852,                0.96258,                0.98402,                0.85385,                0.58184,                0.27873,                 1.0598,               0.005545,               0.005545,               0.005545
                    137,                0.48364,                0.44387,                 1.0003,                0.98798,                0.95013,                0.98519,                0.86107,                0.58004,                0.28208,                 1.0471,               0.005512,               0.005512,               0.005512
                    138,                0.47834,                0.45029,                0.99501,                0.98113,                0.96226,                0.98341,                0.85434,                0.59163,                0.28265,                 1.0689,               0.005479,               0.005479,               0.005479
                    139,                0.48332,                0.44947,                0.99975,                0.99011,                0.95591,                0.98238,                0.85734,                0.57498,                0.28424,                 1.0377,               0.005446,               0.005446,               0.005446
                    140,                0.48238,                0.44665,                0.99564,                0.98909,                0.95599,                0.97707,                0.85562,                0.57527,                0.28885,                 1.0246,               0.005413,               0.005413,               0.005413
                    141,                0.47794,                0.44237,                0.99272,                0.97982,                0.96212,                0.97881,                0.85638,                0.58719,                0.29413,                 1.0469,                0.00538,                0.00538,                0.00538
                    142,                0.46995,                0.43754,                0.99117,                0.97969,                0.95678,                0.98066,                 0.8532,                0.58259,                0.29188,                 1.0441,               0.005347,               0.005347,               0.005347
                    143,                0.47448,                0.44008,                0.99008,                 0.9806,                0.96275,                0.98586,                0.85998,                0.58086,                0.28384,                 1.0388,               0.005314,               0.005314,               0.005314
                    144,                0.47584,                0.45097,                0.99001,                0.97829,                0.96002,                0.98038,                0.85889,                0.57271,                 0.2848,                 1.0256,               0.005281,               0.005281,               0.005281
                    145,                0.46203,                0.42642,                0.98099,                0.98384,                0.95084,                0.97732,                0.85351,                0.58419,                0.28549,                 1.0422,               0.005248,               0.005248,               0.005248
                    146,                0.47157,                0.43677,                0.99136,                0.98547,                0.96327,                0.97991,                0.85479,                0.58931,                0.27951,                 1.0431,               0.005215,               0.005215,               0.005215
                    147,                0.46324,                0.42838,                0.98078,                0.97321,                0.97216,                0.98258,                0.85446,                0.59044,                0.27428,                 1.0307,               0.005182,               0.005182,               0.005182
                    148,                 0.4664,                0.42547,                0.98421,                0.98495,                0.96129,                0.97837,                0.85426,                0.57281,                0.27864,                  1.022,               0.005149,               0.005149,               0.005149
                    149,                0.45491,                0.40965,                 0.9762,                0.98781,                0.96347,                0.98016,                0.85619,                0.57208,                0.27018,                 1.0301,               0.005116,               0.005116,               0.005116
                    150,                0.46177,                0.42492,                0.98062,                0.97742,                0.95804,                0.97659,                0.85654,                0.57369,                0.28582,                 1.0204,               0.005083,               0.005083,               0.005083
                    151,                0.46657,                0.43133,                0.98684,                0.97883,                0.95305,                0.97686,                0.85696,                0.56687,                0.27677,                 1.0201,                0.00505,                0.00505,                0.00505
                    152,                0.46082,                0.42895,                 0.9819,                0.98365,                 0.9498,                0.97756,                0.85213,                0.58036,                0.27924,                  1.036,               0.005017,               0.005017,               0.005017
                    153,                0.45385,                0.41465,                0.97546,                0.97999,                0.96187,                0.98152,                0.86124,                0.57826,                0.26785,                 1.0478,               0.004984,               0.004984,               0.004984
                    154,                0.45446,                0.41485,                0.97584,                 0.9789,                0.95957,                0.98136,                0.85954,                0.57786,                0.28024,                  1.048,               0.004951,               0.004951,               0.004951
                    155,                0.45275,                 0.4186,                0.98126,                 0.9766,                 0.9557,                0.97959,                0.86308,                0.56937,                 0.2726,                 1.0483,               0.004918,               0.004918,               0.004918
